category_truth,text
Identity Platform,anyone else seeing this? device-auth-service in prod: device token issuance p99 at 1800ms and set-top boxes retry-storming. roughly 10% of attempts are affected. a restart made it better for about ten minutes. can someone take a look?
Identity Platform,raising this here first: re account-service: account creation flow erroring at the final step for 29% of signups since 21:25. can someone take a look?
Monetization Platform,"Issue summary: I upgraded to the premium plan but my account still shows the basic tier
Affected area: production
Description: I upgraded to the premium plan but my account still shows the basic tier.
Impact: Widespread, still growing
First noticed: 06:15 UTC"
User Engagement,"Monitoring picked this up a few minutes ago: notification-service (SEV3) - in-app notification fanout delayed 30m, queue depth 4200 and climbing."
Monetization Platform,"quick flag: payment-service in prod: card authorization error rate up 31% since 16:15, issuer responses slow across the board. mostly us-east-1 traffic from what we can tell. started around 17:00 utc. happy to hop on a call."
Core Platform,"Issue summary: The app keeps switching between two different home screen designs every time I open it
Affected area: experiment-service
Description: The app keeps switching between two different home screen designs every time I open it.
Impact: Internal workflow blocked
First noticed: 10:35 UTC"
Content Discovery,"Subject: [Customer report] service degradation

To whom it may concern, Online feature freshness lag exceeds 27m and ranking quality metrics are regressing.
Please advise.
Thanks,
Priya"
User Engagement,"Monitoring picked this up a few minutes ago: email-service (SEV2) - transactional email bounce rate up 6% since 00:35, password-reset sends stuck in queue. Roughly 31% of attempts are affected. Reference SF-3488 from an earlier report that looks related. Auto-remediation did not kick in."
Monetization Platform,raising this here first: seeing this on subscription-service - renewal processing backlog at 218 accounts and renewals are failing silently. mostly us-east-1 traffic from what we can tell. who owns this?
Monetization Platform,"Issue summary: I cannot update my card details
Affected area: payment-service
Description: I cannot update my card details, the page errors out every time I hit save.
Impact: Internal workflow blocked
First noticed: 16:45 UTC"
Monetization Platform,"Issue summary: Payment-gateway authorizations timing out at 1800ms on 13% of attempts
Affected area: payment-service
Description: Payment-gateway authorizations timing out at 1800ms on 13% of attempts, retries piling up.
Impact: Internal workflow blocked
First noticed: 19:55 UTC"
Data Platform,"Monitoring picked this up a few minutes ago: analytics-service (SEV1) - nightly aggregation job failed 4 times in a row, exec dashboards stale by 46h. Impact is still growing per the last check. Needs an owner before it breaches further."
User Engagement,"Subject: Urgent: streaming account

Hi support, Ratings ingestion lagging 29m, thumbs signals not persisting downstream.
A restart made it better for about ten minutes.
Appreciate any help.
Regards,
Sam"
Core Platform,"raising this here first: observability-service in prod: tempo-distributor writes timing out at 1800ms, 28% of spans failing to persist. mostly us-west-2 traffic from what we can tell."
Streaming Platform,"Subject: Issue: my account

Hello, Cdn-routing-service weights look wrong after the last config push, cache hit ratio dropped to 35%.
Roughly 20% of attempts are affected.
Appreciate any help.
Regards,
Kate"
Identity Platform,On-call summary from the last page: profile-service (SEV2) - profile preference writes timing out at 2500ms after the session cache change.
Monetization Platform,"Monitoring picked this up a few minutes ago: billing-service (SEV2) - billing-api capture latency at 3000ms with CPUThrottlingHigh, throttled ratio 0.66. Paging felt premature so filing here."
Content Discovery,On-call summary from the last page: search-service (SEV2) - search index shard 4 is red and results are missing recent titles. Happens on both web and the TV app. Paging felt premature so filing here.
User Engagement,"hey folks, push-service: I get pushes on my tablet but my phone has been silent for days, same account. first noticed by the sev2 bridge during triage."
User Engagement,"Subject: Help needed - watchlist-service

Hi support, Watchlist writes returning 409 conflicts, 1840 per minute after the schema change.
Thanks!
Regards,
Kate"
Monetization Platform,"Alertmanager fired and here is the summary: billing-service (SEV3) - duplicate payment captures detected in the ledger reconciliation job, 640 duplicates in batch ledger-20260617-15. Auto-remediation did not kick in."
Monetization Platform,"Alertmanager fired and here is the summary: invoice-service (SEV1) - invoice PDFs rendering with the wrong tax lines after the template deploy. Retried after clearing cache, no change. Auto-remediation did not kick in."
Streaming Platform,"Subject: Issue: streaming account

Hi team, Captions will not turn on at all for some shows even though the setting is enabled.
Roughly 10% of attempts are affected.
Please advise.
- Nina"
Streaming Platform,"Subject: Urgent: streaming account

Hello, Streams are really choppy tonight even on fast wifi, the quality keeps dropping.
A restart made it better for about ten minutes.
Can someone take a look?
Thanks,
Nina"
Core Platform,"Issue summary: Edge-router config reload is flapping listeners
Affected area: edge-router (prod)
Description: Edge-router config reload is flapping listeners, brief full outages every 5m. Happens on both web and the TV app.
Impact: Single account affected
First noticed: 23:15 UTC"
Streaming Platform,"Issue summary: Captions will not turn on at all for some shows even though the setting is enabled
Affected area: subtitle-service
Description: Captions will not turn on at all for some shows even though the setting is enabled. Roughly 14% of attempts are affected.
Impact: Widespread, still growing
First noticed: 01:35 UTC"
Data Platform,Translating the alert for this queue: ml-ranking-service (SEV3) - ranking endpoint p99 at 3420ms with 14% inference errors after the model refresh. Nothing obvious in the last deploy diff. Needs an owner before it breaches further.
Identity Platform,"Issue summary: Device activation code validation failing
Affected area: device-auth-service
Description: Device activation code validation failing, 12% of TV sign-ins erroring since the 20:00 deploy. Roughly 23% of attempts are affected.
Impact: Intermittent but recurring
First noticed: 08:35 UTC"
Streaming Platform,"Subject: Urgent: my account

Hello, Videos take forever to start, I stare at a spinner for 15+ seconds before anything plays.
Started around 20:35 UTC.
Thanks in advance.
- Ingrid"
User Engagement,"Issue summary: Notification dedupe cache flushed during the deploy
Affected area: production
Description: Notification dedupe cache flushed during the deploy, users receiving repeats. Happens on both web and the TV app.
Impact: Widespread, still growing
First noticed: 15:00 UTC"
Data Platform,"Paraphrasing the page we just got: feature-store-service (SEV2) - offline-to-online feature sync job is crashlooping since 19:15, materialization stalled. Auto-remediation did not kick in."
Core Platform,"Issue summary: Experiment assignments flapping between variants mid-session
Affected area: experiment-service (prod)
Description: Experiment assignments flapping between variants mid-session, exposure logging down since 20:50. Retried after clearing cache, no change.
Impact: Single account affected
First noticed: 09:30 UTC"
Data Platform,"Issue summary: Client events from last night are missing downstream
Affected area: event-ingestion-service
Description: Client events from last night are missing downstream, there is a gap starting around 08:05.
Impact: Multiple customers affected
First noticed: 11:00 UTC"
Streaming Platform,"Subject: [Customer report] cdn-routing-service

Hi support, Video keeps stalling only in the evenings, mornings are fine on the same connection.
Nothing obvious in the last deploy diff.
Appreciate any help.
Thanks,
Yuki"
Identity Platform,"Monitoring picked this up a few minutes ago: auth-service (SEV2) - Redis hot key on session:tenant:enterprise-admins at 48k ops/s, Redis p99 1800ms, enterprise logins degraded. Paging felt premature so filing here."
Monetization Platform,"Issue summary: The receipt I got shows a different amount than what my bank was actually charged
Affected area: production
Description: The receipt I got shows a different amount than what my bank was actually charged.
Impact: Single account affected
First noticed: 04:35 UTC"
Monetization Platform,"Issue summary: I was charged twice for this month
Affected area: billing-service (prod)
Description: I was charged twice for this month, two identical charges a minute apart on my statement. Nothing obvious in the last deploy diff.
Impact: Revenue impacting
First noticed: 13:15 UTC"
Monetization Platform,"Paraphrasing the page we just got: payment-service (SEV1) - payment-gateway authorizations timing out at 3000ms on 24% of attempts, retries piling up. Started around 07:45 UTC. Runbook link was stale, routing to you."
Identity Platform,"not sure if known, but profile-service: profile preference writes timing out at 2000ms after the session cache change. nothing obvious in the last deploy diff. started around 12:10 utc. who owns this?"
Core Platform,"Issue summary: Tail sampling error-rate policy was disabled in a config rollout
Affected area: observability-service (prod)
Description: Tail sampling error-rate policy was disabled in a config rollout, 16% of error traces dropped. Roughly 37% of attempts are affected.
Impact: Multiple customers affected
First noticed: 06:15 UTC"
Content Discovery,"Subject: Help needed - personalization-service

Hey, Resume points are gone, every episode starts from the beginning again.
Retried after clearing cache, no change.
Appreciate any help.
Thanks,
Maya"
Streaming Platform,"Subject: [Customer report] streaming account

To whom it may concern, Captions will not turn on at all for some shows even though the setting is enabled.
First noticed by the SEV3 bridge during triage.
Thanks in advance.
- Ravi"
Streaming Platform,"Issue summary: Movies keep buffering every couple of minutes tonight
Affected area: playback-service
Description: Movies keep buffering every couple of minutes tonight, I tried two different devices.
Impact: Intermittent but recurring
First noticed: 18:50 UTC"
Core Platform,"Subject: Urgent: streaming account

Hi team, The whole app errors out intermittently, different screens but the same something-went-wrong message.
Reference SF-6467 from an earlier report that looks related.
Please advise.
Best,
Priya"
Content Discovery,"Issue summary: Personalized shelf ordering is falling back to editorial defaults
Affected area: personalization-service (prod)
Description: Personalized shelf ordering is falling back to editorial defaults, override rate 27%. A restart made it better for about ten minutes.
Impact: Intermittent but recurring
First noticed: 09:00 UTC"
Monetization Platform,"Issue summary: My payment keeps failing at checkout even though the card works everywhere else
Affected area: payment-service (prod)
Description: My payment keeps failing at checkout even though the card works everywhere else. Started around 09:15 UTC.
Impact: Internal workflow blocked
First noticed: 08:10 UTC"
Streaming Platform,"Issue summary: Cdn-routing-service weights look wrong after the last config push
Affected area: cdn-routing-service
Description: Cdn-routing-service weights look wrong after the last config push, cache hit ratio dropped to 14%. A restart made it better for about ten minutes.
Impact: Revenue impacting
First noticed: 23:05 UTC"
Streaming Platform,"anyone else seeing this? re playback-service: p99 playback start latency breached the 2500ms SLO in us-west-2 for 18m, currently 3100ms, and customers report buffering. nothing obvious in the last deploy diff. cc on-call."
Data Platform,"Issue summary: Ml-ranking-service pods evicted under node memory pressure
Affected area: ml-ranking-service
Description: Ml-ranking-service pods evicted under node memory pressure, scores falling back to popularity. Impact is still growing per the last check.
Impact: Internal workflow blocked
First noticed: 18:55 UTC"
Identity Platform,"Subject: Problem with device-auth-service

To whom it may concern, The activation code from my TV always says expired even when I type it in right away.
First noticed by the SEV1 bridge during triage.
Thanks in advance.
Thanks,
Lena"
Identity Platform,anyone else seeing this? re account-service: account creation flow erroring at the final step for 10% of signups since 01:00. roughly 29% of attempts are affected. can someone take a look?
Identity Platform,Paraphrasing the page we just got: profile-service (SEV1) - profile preference writes timing out at 1800ms after the session cache change.
User Engagement,"anyone else seeing this? email-service in prod: outbound SMTP relay throttling us, 218 messages deferred in the last hour. who owns this?"
Core Platform,"Issue summary: TLS handshake errors at the edge in us-west-2
Affected area: production
Description: TLS handshake errors at the edge in us-west-2, 3200 per minute and upstream resets climbing. Happens on both web and the TV app.
Impact: Multiple customers affected
First noticed: 04:20 UTC"
User Engagement,"On-call summary from the last page: watchlist-service (SEV2) - watchlist writes returning 409 conflicts, 3200 per minute after the schema change. Retried after clearing cache, no change. Paging felt premature so filing here."
Streaming Platform,"Translating the alert for this queue: license-service (SEV2) - DRM license acquisition is failing for ~35% of session starts, license grants timing out at 1800ms. Reference SF-1380 from an earlier report that looks related."
Data Platform,"Subject: Help needed - event-ingestion-service

Hi team, Client events from last night are missing downstream, there is a gap starting around 17:40.
Reference SF-4941 from an earlier report that looks related. First noticed by the SEV1 bridge during triage.
Thanks!
Regards,
Nina"
Identity Platform,On-call summary from the last page: profile-service (SEV1) - profile preference writes timing out at 2500ms after the session cache change. Happens on both web and the TV app. Paging felt premature so filing here.
Monetization Platform,"On-call summary from the last page: payment-service (SEV3) - payment-gateway authorizations timing out at 3000ms on 11% of attempts, retries piling up. A restart made it better for about ten minutes. Auto-remediation did not kick in."
Data Platform,"Issue summary: Offline-to-online feature sync job is crashlooping since 22:40
Affected area: feature-store-service (prod)
Description: Offline-to-online feature sync job is crashlooping since 22:40, materialization stalled. Retried after clearing cache, no change.
Impact: Single account affected
First noticed: 21:30 UTC"
Streaming Platform,"Subject: [Customer report] my account

Hello, Manifest generation lagging behind encoder output by 21m for new titles.
Hope this can be sorted soon.
Regards,
Marco"
Core Platform,"anyone else seeing this? observability-service in prod: Fluent Bit buffers at 13% capacity and Loki push errors are dropping production logs, 7% already lost. reference sf-2478 from an earlier report that looks related."
User Engagement,"Issue summary: I rated a dozen shows and none of it saved or changed my suggestions
Affected area: ratings-service (prod)
Description: I rated a dozen shows and none of it saved or changed my suggestions. Nothing obvious in the last deploy diff.
Impact: Intermittent but recurring
First noticed: 23:05 UTC"
Streaming Platform,"Issue summary: The stream starts and then immediately errors out with a media error code
Affected area: manifest-service (prod)
Description: The stream starts and then immediately errors out with a media error code. Impact is still growing per the last check.
Impact: Multiple customers affected
First noticed: 16:50 UTC"
User Engagement,"not sure if known, but seeing this on email-service - transactional email bounce rate up 37% since 11:45, password-reset sends stuck in queue. thread me if you need logs."
Data Platform,"Subject: Urgent: the app

Good morning, Score responses from the ranking endpoint are timing out for our batch job since 13:25.
Roughly 19% of attempts are affected. First noticed by the SEV1 bridge during triage.
Appreciate any help.
Regards,
Chris"
Content Discovery,"not sure if known, but personalization-service: personalized shelf ordering is falling back to editorial defaults, override rate 18%. retried after clearing cache, no change. mostly us-east-1 traffic from what we can tell. cc on-call."
Streaming Platform,Paraphrasing the page we just got: manifest-service (SEV1) - manifest generation lagging behind encoder output by 15m for new titles. Paging felt premature so filing here.
User Engagement,"Issue summary: Ratings write path erroring for 24% of events since 21:25
Affected area: production
Description: Ratings write path erroring for 24% of events since 21:25. Impact is still growing per the last check.
Impact: Intermittent but recurring
First noticed: 03:25 UTC"
Monetization Platform,"Issue summary: My card was billed two times for the same subscription period and I need one refunded
Affected area: billing-service (prod)
Description: My card was billed two times for the same subscription period and I need one refunded. Roughly 30% of attempts are affected.
Impact: Intermittent but recurring
First noticed: 03:35 UTC"
User Engagement,"Subject: Urgent: my account

Hi support, Signup confirmation emails are not arriving so I cannot verify my address.
Happens on both web and the TV app. First noticed by the SEV2 bridge during triage.
Please advise.
Best,
Marco"
Content Discovery,"Paraphrasing the page we just got: catalog-service (SEV1) - catalog listing endpoints returning partial rows, 12% of shelf requests missing items. Happens on both web and the TV app. Roughly 35% of attempts are affected."
User Engagement,"On-call summary from the last page: ratings-service (SEV3) - ratings ingestion lagging 37m, thumbs signals not persisting downstream. Nothing obvious in the last deploy diff. Retried after clearing cache, no change. Auto-remediation did not kick in."
Core Platform,"Subject: Problem with edge-router

Hello, The site will not load at all from my location, it times out before anything appears.
Happens on both web and the TV app.
Thanks!
- Lena"
Content Discovery,"Issue summary: Online feature freshness lag exceeds 52m and ranking quality metrics are regressing
Affected area: recommendation-service (prod)
Description: Online feature freshness lag exceeds 52m and ranking quality metrics are regressing.
Impact: Multiple customers affected
First noticed: 07:10 UTC"
Identity Platform,"Issue summary: Account creation flow erroring at the final step for 26% of signups since 21:55
Affected area: production
Description: Account creation flow erroring at the final step for 26% of signups since 21:55.
Impact: Revenue impacting
First noticed: 06:15 UTC"
Core Platform,"Issue summary: Experiment assignments flapping between variants mid-session
Affected area: production
Description: Experiment assignments flapping between variants mid-session, exposure logging down since 09:25. First noticed by the SEV2 bridge during triage.
Impact: Intermittent but recurring
First noticed: 01:05 UTC"
Streaming Platform,"Subject: [Customer report] streaming account

To whom it may concern, I keep getting a licensing error when I try to play anything.
Can someone take a look?
Cheers,
Devon"
Core Platform,"Subject: Issue: production issue

To whom it may concern, The site will not load at all from my location, it times out before anything appears.
Please advise.
Thanks,
Omar"
User Engagement,"Issue summary: In-app notification fanout delayed 18m
Affected area: production
Description: In-app notification fanout delayed 18m, queue depth 1860 and climbing. First noticed by the SEV2 bridge during triage. Nothing obvious in the last deploy diff.
Impact: Intermittent but recurring
First noticed: 12:15 UTC"
Core Platform,"Issue summary: Dashboards for my service show gaps for the last hour
Affected area: observability-service
Description: Dashboards for my service show gaps for the last hour, traces are missing too. Nothing obvious in the last deploy diff.
Impact: Single account affected
First noticed: 20:35 UTC"
Monetization Platform,"not sure if known, but re subscription-service: plan-change events are not applying, 980 accounts stuck between tiers since the deploy. mostly us-west-2 traffic from what we can tell. can someone take a look?"
User Engagement,"Monitoring picked this up a few minutes ago: notification-service (SEV2) - notification dedupe cache flushed during the deploy, users receiving repeats. First noticed by the SEV3 bridge during triage."
Data Platform,Alertmanager fired and here is the summary: ml-ranking-service (SEV3) - ranking endpoint p99 at 3800ms with 18% inference errors after the model refresh. Happens on both web and the TV app. Needs an owner before it breaches further.
Streaming Platform,"Subject: Ongoing issue: service degradation

Hi team, Streams are really choppy tonight even on fast wifi, the quality keeps dropping.
A restart made it better for about ten minutes.
Let me know if you need more details.
Best,
Maya"
Streaming Platform,"Paraphrasing the page we just got: license-service (SEV2) - license-service error rate jumped after the key-rotation job, 218 denials in the last hour. Needs an owner before it breaches further."
Streaming Platform,quick flag: seeing this on subtitle-service - captions will not turn on at all for some shows even though the setting is enabled. nothing obvious in the last deploy diff.
Identity Platform,"hey folks, device-auth-service: device activation code validation failing, 33% of TV sign-ins erroring since the 22:20 deploy. started around 01:25 utc. will open a ticket if it persists."
Content Discovery,"Issue summary: Search returns nothing for titles I know exist
Affected area: search-service
Description: Search returns nothing for titles I know exist, even with the exact name.
Impact: Revenue impacting
First noticed: 17:25 UTC"
User Engagement,"Subject: Urgent: watchlist-service

Hello, My whole watchlist is empty this morning, it had about forty titles.
First noticed by the SEV3 bridge during triage. Happens on both web and the TV app.
Thanks!
Regards,
Omar"
Identity Platform,"Issue summary: Admin lockout spike after the MFA provider policy refresh
Affected area: auth-service
Description: Admin lockout spike after the MFA provider policy refresh, 120 lockouts with northstar-mfa enforcement flipped from gradual to strict. Nothing obvious in the last deploy diff.
Impact: Single account affected
First noticed: 16:15 UTC"
Monetization Platform,"hey folks, invoice-service in prod: the receipt I got shows a different amount than what my bank was actually charged. cc on-call."
Monetization Platform,"Issue summary: The receipt I got shows a different amount than what my bank was actually charged
Affected area: invoice-service (prod)
Description: The receipt I got shows a different amount than what my bank was actually charged.
Impact: Widespread, still growing
First noticed: 00:00 UTC"
Content Discovery,"Issue summary: Search p99 at 3800ms with 7% of queries timing out since the index rebuild
Affected area: search-service (prod)
Description: Search p99 at 3800ms with 7% of queries timing out since the index rebuild. Roughly 28% of attempts are affected. Impact is still growing per the last check.
Impact: Widespread, still growing
First noticed: 00:45 UTC"
Content Discovery,"Subject: Issue: streaming account

Hi support, Search returns nothing for titles I know exist, even with the exact name.
A restart made it better for about ten minutes.
Thanks in advance.
Cheers,
Nina"
Streaming Platform,"Subject: Problem with service degradation

Hello, Video keeps stalling only in the evenings, mornings are fine on the same connection.
Happens on both web and the TV app.
Hope this can be sorted soon.
Cheers,
Alex"
Monetization Platform,"Subject: Urgent: payment-service

Hi support, I cannot update my card details, the page errors out every time I hit save.
Thanks in advance.
Cheers,
Ingrid"
User Engagement,"Issue summary: Watchlist writes returning 409 conflicts
Affected area: watchlist-service
Description: Watchlist writes returning 409 conflicts, 3200 per minute after the schema change. Started around 09:15 UTC.
Impact: Internal workflow blocked
First noticed: 13:25 UTC"
Streaming Platform,"Issue summary: Video keeps stalling only in the evenings
Affected area: cdn-routing-service
Description: Video keeps stalling only in the evenings, mornings are fine on the same connection.
Impact: Multiple customers affected
First noticed: 17:10 UTC"
Content Discovery,"Issue summary: Continue-watching row assembly failing for 9% of sessions since 21:50
Affected area: personalization-service (prod)
Description: Continue-watching row assembly failing for 9% of sessions since 21:50. Started around 16:40 UTC.
Impact: Widespread, still growing
First noticed: 22:25 UTC"
Identity Platform,"Alertmanager fired and here is the summary: device-auth-service (SEV3) - device activation code validation failing, 23% of TV sign-ins erroring since the 01:05 deploy. First noticed by the SEV2 bridge during triage. Runbook link was stale, routing to you."
Content Discovery,raising this here first: re recommendation-service: online feature freshness lag exceeds 30m and ranking quality metrics are regressing. first noticed by the sev1 bridge during triage.
User Engagement,"Issue summary: Signup confirmation emails are not arriving so I cannot verify my address
Affected area: production
Description: Signup confirmation emails are not arriving so I cannot verify my address.
Impact: Widespread, still growing
First noticed: 00:40 UTC"
Core Platform,"Monitoring picked this up a few minutes ago: api-gateway (SEV1) - gateway returning 502 and 504 across multiple upstreams, 34% of requests failing since 14:55. Impact is still growing per the last check. Auto-remediation did not kick in."
Streaming Platform,"Subject: Help needed - playback-service

Good morning, Playback keeps pausing to load even though my internet speed tests fine.
Reference SF-6869 from an earlier report that looks related. Nothing obvious in the last deploy diff.
Can someone take a look?
Regards,
Ravi"
Core Platform,"raising this here first: observability-service: Fluent Bit buffers at 10% capacity and Loki push errors are dropping production logs, 9% already lost. cc on-call."
Data Platform,"Paraphrasing the page we just got: analytics-service (SEV1) - nightly aggregation job failed 7 times in a row, exec dashboards stale by 15h. Runbook link was stale, routing to you."
Identity Platform,heads up - profile-service in prod: profile reads returning 500s for ~21% of requests since 09:00. mostly eu-west-1 traffic from what we can tell. happy to hop on a call.
Streaming Platform,"Subject: Issue: production issue

Hey, Video keeps stalling only in the evenings, mornings are fine on the same connection.
Hope this can be sorted soon.
Cheers,
Priya"
Data Platform,On-call summary from the last page: analytics-service (SEV3) - analytics query layer p99 at 4200ms after the warehouse migration. Mostly ap-south-1 traffic from what we can tell. Needs an owner before it breaches further.
Identity Platform,"Subject: Urgent: my account

Hi support, Avatar and settings changes will not save, everything reverts when I go back.
Started around 07:45 UTC. Mostly ap-south-1 traffic from what we can tell.
Thanks in advance.
Cheers,
Ravi"
Identity Platform,"Subject: Problem with production issue

Hey, Trying to create an account but it errors every single time on the last step.
Retried after clearing cache, no change.
Please advise.
Thanks,
Lena"
Monetization Platform,"Alertmanager fired and here is the summary: subscription-service (SEV3) - plan-change events are not applying, 2400 accounts stuck between tiers since the deploy. Nothing obvious in the last deploy diff. Runbook link was stale, routing to you."
Core Platform,"Subject: Issue: streaming account

Hey, The app keeps switching between two different home screen designs every time I open it.
Impact is still growing per the last check.
Thanks!
- Alex"
Monetization Platform,"Alertmanager fired and here is the summary: subscription-service (SEV1) - renewal processing backlog at 1840 accounts and renewals are failing silently. Impact is still growing per the last check. Runbook link was stale, routing to you."
Monetization Platform,fyi - invoice-service: invoice PDFs rendering with the wrong tax lines after the template deploy. roughly 15% of attempts are affected. will open a ticket if it persists.
Data Platform,"hey folks, re feature-store-service: offline-to-online feature sync job is crashlooping since 13:50, materialization stalled. mostly ap-south-1 traffic from what we can tell. who owns this?"
Content Discovery,"Subject: Help needed - my account

Hi support, Titles published 9h ago are still not visible in the catalog API, publish pipeline consumer stalled.
Happens on both web and the TV app.
Thanks in advance.
- Lena"
User Engagement,"Subject: Issue: the app

Hello, Outbound SMTP relay throttling us, 74 messages deferred in the last hour.
Impact is still growing per the last check. Started around 14:30 UTC.
Can someone take a look?
Best,
Yuki"
Data Platform,"Issue summary: Ml-ranking-service pods evicted under node memory pressure
Affected area: production
Description: Ml-ranking-service pods evicted under node memory pressure, scores falling back to popularity. Mostly us-west-2 traffic from what we can tell.
Impact: Widespread, still growing
First noticed: 03:50 UTC"
Core Platform,"Issue summary: Gateway worker restarts spiking after the timeout tuning change
Affected area: production
Description: Gateway worker restarts spiking after the timeout tuning change, 7 restarts in 20m.
Impact: Single account affected
First noticed: 12:45 UTC"
Core Platform,"Subject: Ongoing issue: streaming account

Hi support, Half the app shows the new layout and half the old one, it flips between refreshes.
Impact is still growing per the last check.
Appreciate any help.
Thanks,
Omar"
Streaming Platform,"Subject: Urgent: the app

Hi there, Subtitle fetches returning 404 for newly published titles, 640 errors in the last hour.
Can someone take a look?
Cheers,
Chris"
Core Platform,"Issue summary: Tail sampling error-rate policy was disabled in a config rollout
Affected area: production
Description: Tail sampling error-rate policy was disabled in a config rollout, 18% of error traces dropped.
Impact: Single account affected
First noticed: 21:50 UTC"
Data Platform,"Subject: Problem with analytics-service

Hi there, The engagement dashboard has not updated since yesterday morning.
Thanks!
Best,
Priya"
Identity Platform,"Alertmanager fired and here is the summary: profile-service (SEV2) - profile reads returning 500s for ~27% of requests since 18:30. First noticed by the SEV1 bridge during triage. Runbook link was stale, routing to you."
Core Platform,"heads up - seeing this on observability-service - tempo-distributor writes timing out at 2000ms, 9% of spans failing to persist. impact is still growing per the last check. roughly 28% of attempts are affected. will open a ticket if it persists."
Core Platform,"Alertmanager fired and here is the summary: experiment-service (SEV2) - assignment cache stampede at 1200 rps after the deploy, allocation service saturated. Roughly 30% of attempts are affected. Impact is still growing per the last check."
Core Platform,"anyone else seeing this? experiment-service in prod: assignment cache stampede at 5200 rps after the deploy, allocation service saturated. will open a ticket if it persists."
User Engagement,"Issue summary: APNs and FCM push delivery failing for 19% of devices since the token migration
Affected area: push-service (prod)
Description: APNs and FCM push delivery failing for 19% of devices since the token migration. Nothing obvious in the last deploy diff.
Impact: Revenue impacting
First noticed: 20:25 UTC"
Core Platform,"hey folks, config-service: config watchers disconnected after the etcd failover, 980 stale clients. reference sf-9724 from an earlier report that looks related. cc on-call."
Streaming Platform,"hey folks, seeing this on playback-service - CPUThrottlingHigh on playback-api, throttled ratio 0.66 with p99 start latency 2700ms. started around 17:15 utc. who owns this?"
Streaming Platform,"Issue summary: Manifest fetch p99 is at 2400ms and players are falling back to stale manifests
Affected area: manifest-service (prod)
Description: Manifest fetch p99 is at 2400ms and players are falling back to stale manifests. A restart made it better for about ten minutes.
Impact: Intermittent but recurring
First noticed: 19:15 UTC"
Streaming Platform,"quick flag: re cdn-routing-service: video keeps stalling only in the evenings, mornings are fine on the same connection. a restart made it better for about ten minutes. who owns this?"
User Engagement,"hey folks, seeing this on watchlist-service - watchlist writes returning 409 conflicts, 3200 per minute after the schema change. first noticed by the sev2 bridge during triage. roughly 29% of attempts are affected. happy to hop on a call."
Identity Platform,"Alertmanager fired and here is the summary: auth-service (SEV1) - token refresh failures at 31% since the 21:15 deploy, sessions dropping mid-stream. Retried after clearing cache, no change. Paging felt premature so filing here."
User Engagement,"Issue summary: Push token refresh job crashlooping
Affected area: production
Description: Push token refresh job crashlooping, delivery receipts down 21% day over day.
Impact: Multiple customers affected
First noticed: 10:45 UTC"
Data Platform,"Subject: Issue: service degradation

Good morning, Client events from last night are missing downstream, there is a gap starting around 19:20.
Let me know if you need more details.
Regards,
Kate"
Data Platform,"Subject: Ongoing issue: the app

Hi support, Ingest topic backlog at 12M events, consumer lag growing 218k per minute.
Impact is still growing per the last check.
Can someone take a look?
- Marco"
Core Platform,"Issue summary: Config watchers disconnected after the etcd failover
Affected area: config-service (prod)
Description: Config watchers disconnected after the etcd failover, 980 stale clients. Happens on both web and the TV app. Mostly us-east-1 traffic from what we can tell.
Impact: Internal workflow blocked
First noticed: 05:10 UTC"
Data Platform,"Issue summary: Client events from last night are missing downstream
Affected area: production
Description: Client events from last night are missing downstream, there is a gap starting around 01:50.
Impact: Widespread, still growing
First noticed: 00:00 UTC"
Content Discovery,"Issue summary: The app keeps suggesting kids' cartoons on my adult profile out of nowhere
Affected area: production
Description: The app keeps suggesting kids' cartoons on my adult profile out of nowhere. Impact is still growing per the last check.
Impact: Intermittent but recurring
First noticed: 03:30 UTC"
Data Platform,"fyi - re ml-ranking-service: ml-ranking-service pods evicted under node memory pressure, scores falling back to popularity. can someone take a look?"
Content Discovery,On-call summary from the last page: personalization-service (SEV1) - continue-watching row assembly failing for 26% of sessions since 11:10. Roughly 17% of attempts are affected. A restart made it better for about ten minutes. Paging felt premature so filing here.
Core Platform,"Issue summary: Every few minutes the app logs me to an error page no matter what I tap
Affected area: api-gateway (prod)
Description: Every few minutes the app logs me to an error page no matter what I tap. Retried after clearing cache, no change.
Impact: Intermittent but recurring
First noticed: 03:55 UTC"
Monetization Platform,"raising this here first: billing-service in prod: duplicate payment captures detected in the ledger reconciliation job, 218 duplicates in batch ledger-20260617-30. happy to hop on a call."
User Engagement,quick flag: seeing this on notification-service - I keep getting the same new-episode notification five times in a row. who owns this?
Streaming Platform,"fyi - seeing this on cdn-routing-service - video keeps stalling only in the evenings, mornings are fine on the same connection. mostly us-west-2 traffic from what we can tell."
Streaming Platform,Translating the alert for this queue: subtitle-service (SEV2) - subtitle-service sidecar sync is lagging 25m so tracks are missing on fresh titles.
Streaming Platform,"Subject: Urgent: the app

Hi there, Manifest generation lagging behind encoder output by 48m for new titles.
Reference SF-3157 from an earlier report that looks related. Started around 04:50 UTC.
Can someone take a look?
Regards,
Tunde"
User Engagement,"Alertmanager fired and here is the summary: push-service (SEV1) - push token refresh job crashlooping, delivery receipts down 24% day over day. Auto-remediation did not kick in."
Content Discovery,"Subject: Ongoing issue: personalization-service

Hi team, My continue watching row vanished and my list order is completely scrambled.
Happens on both web and the TV app.
Thanks!
- Priya"
